id;Date;HStart;HEnd;Summary;TD;Location;Description
758;2024-01-22:;12:00:00;15:00:00;RLAN1;TP3;C7;::1ATP3:HERNANDEZSEBASTIEN::(Updated:27/11/202315:00)
759;2023-10-18:;08:00:00;10:00:00;Web1;TDB;B3;::1ATDB:HABACHIOUSSAMA::(Updated:28/09/202311:14)
760;2023-11-29:;14:30:00;16:30:00;PPP1;TDC;B2;::1ATDC:MAYETKARINE::(Updated:20/11/202310:41)
761;2023-10-11:;11:30:00;13:30:00;Web1;TDA;B3;::1ATDA:ZAYENEMARIEM::(Updated:05/10/202317:41)
762;2023-10-17:;08:00:00;09:00:00;SAE11;TP5;B7;::1ATP5:GIRAUDNADINE::(Updated:17/10/202310:35)
763;2024-01-18:;12:30:00;14:30:00;SAE15;TP3;C5;::1ATP3:PERRIOTROMAIN::(Updated:09/01/202415:59)
764;2023-11-29:;14:30:00;16:30:00;Prog1;TP4;B1bis;::1ATP4:PERRIOTROMAIN::(Updated:23/11/202310:33)
765;2023-10-10:;06:00:00;08:00:00;SAE12;TP1;B8;::1ATP1:HERNANDEZSEBASTIEN::(Updated:03/10/202317:54)
766;2023-09-25:;08:00:00;10:00:00;Telecom1;TDA;A5;::1ATDA:CAPALLERAFLORENCE::(Updated:07/07/202313:04)
767;2023-10-03:;06:00:00;08:00:00;Prog1;TDC;C5;::1ATDC:PERRIOTROMAIN::(Updated:25/09/202313:48)
768;2023-11-09:;12:30:00;14:30:00;Math-Signal1;TDA;A8;::1ATDA:MATARHOUSSEIN::(Updated:13/10/202311:29)
769;2023-12-04:;08:00:00;11:00:00;Archi-Sys1;TP2;C5;::1ATP2:PERRIOTROMAIN::(Updated:09/11/202312:47)
770;2023-11-16:;07:00:00;09:00:00;Syst1;TP1;B3;::1ATP1:WEZLMICHAEL::(Updated:24/10/202313:49)
771;2023-09-14:;06:00:00;07:00:00;SAE11;Cours;A5-A5bis;::1A:JACQUETFREDERIQUE::(Updated:07/07/202313:42)
772;2023-09-22:;08:00:00;10:00:00;Syst1;TDA;B3;::1ATDA:JACQUETFREDERIQUE::(Updated:15/09/202317:30)
773;2023-12-06:;08:00:00;11:00:00;Archi-Sys1;TP4;C5;::1ATP4:PERRIOTROMAIN::(Updated:09/11/202311:38)
774;2023-09-22:;08:00:00;10:00:00;PPP1;TDB;B7;::1ATDB:GIRAUDNADINE::(Updated:11/09/202310:33)
775;2024-01-15:;17:00:00;18:00:00;SAE14;TP2;B7;::1ATP2:HABACHIOUSSAMA::(Updated:18/12/202310:41)
