dtstart,dtend,dtstamp,organizer,uid,attendee,created,description,last-modified,location,sequence,status,summary,transp
"2023-10-12T08:00:00Z","2023-10-12T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323632302d302d31","","1970-01-01T00:00:00Z","\n\n1ATP4\nWEZL MICHAEL\n\n(Updated :03/10/2023 11:00)","2023-10-03T09:00:00Z","B3","2140922200","","Syst1 : TP4",""
"2023-10-19T11:30:00Z","2023-10-19T13:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323031312d302d3131","","1970-01-01T00:00:00Z","\n\n1ATP1\nSIGURET ARNAUD\n\n(Updated :28/09/2023 11:07)","2023-09-28T09:07:00Z","C5","2140915007","","Prog1 : TP1",""
"2023-11-07T12:30:00Z","2023-11-07T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333336382d302d3131","","1970-01-01T00:00:00Z","\n\n1ATDC\nBOUAYED AYMENE\n\n(Updated :25/10/2023 11:43)","2023-10-25T09:43:00Z","A5bis","2140953923","","Math-Signal1 : TDC",""
"2023-10-18T06:00:00Z","2023-10-18T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313835322d302d34","","1970-01-01T00:00:00Z","\n\n1ATDB\nJACQUET JEAN-PAUL\n\n(Updated :05/10/2023 18:42)","2023-10-05T16:42:00Z","A5bis","2140925542","","Archi-Sys1 : TDB",""
"2023-09-13T08:00:00Z","2023-09-13T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313739382d302d31","","1970-01-01T00:00:00Z","\n\n1ATDA\nSIGURET ARNAUD\n\n(Updated :10/07/2023 12:48)","2023-07-10T10:48:00Z","B3","2140799908","","Prog1 : TDA",""
"2023-10-25T11:30:00Z","2023-10-25T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d35333338362d302d33","","1970-01-01T00:00:00Z","\n\n1ATP5\nFREITAS ANTONIO\n\n(Updated :10/10/2023 18:42)","2023-10-10T16:42:00Z","C7","2140932742","","Init-Rés1 : TP5",""
"2023-10-19T08:00:00Z","2023-10-19T10:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d36303435332d302d31","","1970-01-01T00:00:00Z","\n\n1ATDC\n\n(Updated :19/10/2023 11:08)","2023-10-19T09:08:00Z","A6,B1bis","2140945248","","SAE13-TDC-PT",""
"2024-01-10T09:00:00Z","2024-01-10T11:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33303636362d322d30","","1970-01-01T00:00:00Z","\n\n1ATP4\nBEIGNON D AGOSTINO LAURE\n\n(Updated :27/11/2023 15:55)","2023-11-27T14:55:00Z","B2","2141001755","","SAE14-TP4",""
"2023-12-13T12:30:00Z","2023-12-13T14:30:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33323230322d302d34","","1970-01-01T00:00:00Z","\n\n1ATP4\nGIRAUD NADINE\n\n(Updated :04/12/2023 14:36)","2023-12-04T13:36:00Z","B7","2141011756","","Com1 : TP4",""
"2023-10-19T06:00:00Z","2023-10-19T08:00:00Z","2024-01-11T09:15:37Z","","ADE60323032332d323032342d5543412d33313739332d302d37","","1970-01-01T00:00:00Z","\n\n1ATDA\nMATAR HOUSSEIN\n\n(Updated :28/09/2023 11:28)","2023-09-28T09:28:00Z","A8","2140915028","","Math-Signal1 : TDA",""
